idMaquina,nro_egm,fabricante,modelo,p_pago,denom,juego,nro_serie,programa,credito,estado,img,ap_minima,ap_maxima,cant_lineas,tipo_juego
156,2401841,NOVOMATIC,"FV 626 CF 2",93.2,0.05,"SUPER-V+GAMINATOR 38",468922,V8.7-14/1011,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
157,2401842,NOVOMATIC,"FV 626 CF 2",93.2,0.05,"SUPER-V+GAMINATOR 38",468923,V8.7-14/1011,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
158,2401843,NOVOMATIC,"FV 626 CF 2",93.1,1.00,"SUPER-V+GAMINATOR 40",468924,V8.7-14/1012,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
159,2401844,NOVOMATIC,"FV 626 CF 2",93.1,1.00,"SUPER-V+GAMINATOR 40",468925,V8.7-14/1012,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
160,2401845,NOVOMATIC,"FV 626 CF 2",93.1,0.25,"SUPER-V+GAMINATOR 40",468926,V8.7-14/1012,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
161,2401846,NOVOMATIC,"FV 626 CF 2",92.3,0.05,"SUPER-V+GAMINATOR 29",468927,V8.4-14,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
162,2401847,NOVOMATIC,"FV 626 CF 2",92.3,0.05,"SUPER-V+GAMINATOR 29",468928,V8.4-14,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
163,2401848,NOVOMATIC,"FV 626 CF 2",92.3,0.05,"SUPER-V+GAMINATOR 29",468929,V8.4-14,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
164,2401849,NOVOMATIC,"FV 626 CF 2",92.3,0.05,"SUPER-V+GAMINATOR 29",468930,V8.4-14,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
165,2401850,NOVOMATIC,"FV 626 CF 2",92.3,0.05,"SUPER-V+GAMINATOR 29",468931,V8.4-14,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
166,2401851,NOVOMATIC,"FV 626 CF 2",93.0,0.05,"SUPER-V+GAMINATOR 29",468932,V8.4-14,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
167,2401860,ARISTOCRAT,MK6,92.1,0.01,GEISHA,MV017381,0252018/01,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
168,2401861,ARISTOCRAT,MK6,91.9,0.01,"TURTLE TREASURE",MV073460,0152656/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
169,2401862,ARISTOCRAT,MK6,92.1,0.01,"FLAME OF OLYMPUS",MV019044,0252004/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
170,2401863,ARISTOCRAT,MK6,92.3,0.01,"TIKI TORCH",MV044283,0252005/01,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
171,2401864,ARISTOCRAT,MK6,92.1,0.01,GEISHA,MV017395,0252018/01,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
172,2401865,ARISTOCRAT,MK6,91.9,0.01,"TURTLE TREASURE",MV073461,0152656/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
173,2401866,ARISTOCRAT,MK6,92.1,0.01,"FLAME OF OLYMPUS",MV019045,0252004/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
174,2401867,ARISTOCRAT,MK6,92.3,0.01,"TIKI TORCH",MV044285,0252005/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
175,2401880,ARISTOCRAT,MK6,92.1,0.01,"50 LIONS",MV038583,152077,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
176,2401881,ARISTOCRAT,MK6,91.9,0.01,"HEART OF VEGAS",MV029515,0152668/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
177,2401882,ARISTOCRAT,MK6,92.1,0.01,"HEART OF GOLD",MV019359,0152089/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
178,2401883,ARISTOCRAT,MK6,92.0,0.01,"INDIAN PRINCESS",MV038578,152662,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
179,2401884,ARISTOCRAT,MK6,91.8,0.01,"MISS KITTY",MV029274,0152356/01,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
180,2401885,ARISTOCRAT,MK6,91.8,0.01,"MOON FESTIVAL",MV069144,0152357/01,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
181,2401886,ARISTOCRAT,MK6,91.9,0.01,"100 LIONS",MV019409,152600,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
182,2401887,ARISTOCRAT,MK6,91.9,0.01,TIGRESS,MV038580,152658,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
183,2401888,ARISTOCRAT,MK6,87.5,0.01,"50 DRAGONS",MV029492,252616,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
184,2401889,ARISTOCRAT,MK6,91.8,0.01,"MOON FESTIVAL",MV026548,0152357/01,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
185,2401890,ARISTOCRAT,MK6,92.1,0.01,"INDIAN DREAMING",MV019275,0152659/01,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
186,2401891,ARISTOCRAT,MK6,92.1,0.01,"POMPE II",MV019346,0152325/01,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
187,2401913,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989162,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
188,2401914,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989481,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
189,2401915,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1858955,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
190,2401916,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989160,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
191,2401917,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1986161,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
192,2401918,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989164,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
193,2401919,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989163,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
194,2401920,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989480,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
195,2401921,IGT,"GK HYBRIDSLANT",90.5,0.01,"VIRTUAL HORSE RACING",1989479,MPPLTG001A/MPBIO5003B,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
196,2401922,IGT,"IGT TRIMLINE",91.5,0.25,CATS,1745963,GE011001EN20001/AE011-031,0.50|1.00|2.00,1,igt.jpg,NULL,NULL,NULL,NULL
197,2401923,IGT,"IGT TRIMLINE",92.5,0.01,"STINKIN RICH",1745396,G0004825,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
198,2401924,IGT,"IGT TRIMLINE",91.5,0.01,"WILD WOLF",1745921,GK002413,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
199,2401925,IGT,"IGT TRIMLINE",91.5,0.01,"NOAH S ARK",1746540,GE011001BA2001/AE011-031,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
200,2401926,IGT,"IGT TRIMLINE",92.5,0.01,"REMBRANDT RICHES",1746539,GK002904,0.50|1.00|2.00,1,igt.jpg,NULL,NULL,NULL,NULL
201,2401927,IGT,"IGT TRIMLINE",91.5,0.01,"WILD WOLF",1745403,GK002413,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
202,2401956,ARISTOCRAT,"VIDRIAN WS",91.9,0.01,"2 CAN",VIRWS902771,1.01-60872,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
203,2401958,ARISTOCRAT,"VIDRIAN WS",91.9,0.01,"WILD PATAGONIA",VIRWS902791,1.01-61212,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
204,2401959,ARISTOCRAT,"VIDRIAN WS",87.9,0.01,"KICKN ASS",VIRWS902794,1.00-61034,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
205,2401960,ARISTOCRAT,"VIDRIAN WS",87.7,0.01,PELE,VIRWS902795,1.02-61262,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
206,2401961,ARISTOCRAT,"VIDRIAN WS",87.6,0.01,"THE BULLET AND THE BADGE",VIRWS902813,1.01-60914,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
207,2401962,ARISTOCRAT,"VIDRIAN WS",91.9,0.01,"SIRENAS GOLD",VIRWS902799,1.02-60608,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
208,2401963,ARISTOCRAT,"VIDRIAN WS",91.9,0.01,"MORE HEARTS",VIRWS902808,1.01-61373,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
209,2401964,ARISTOCRAT,MK6,91.8,0.01,"TIMBER WOLF",MV002668,0554042,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
210,2401965,ARISTOCRAT,MK6,91.8,0.01,"TIMBER WOLF",MV004450,0554042,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
211,2401966,ARISTOCRAT,MK6,91.8,0.01,"TIMBER WOLF",MV029202,0554042,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
212,2401967,ARISTOCRAT,MK6,91.8,0.01,"TIMBER WOLF",MV046316,0554042,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
213,2401968,WILLIAMS,"BLUEBIRD II",92.1,0.01,"FAIRY'S FORTUNE",W2282674,S2011032801,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
214,2401969,WILLIAMS,"BLUEBIRD II",91.9,0.01,"GEMS GEMS GEMS",W2282679,SC98-1020C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
215,2401970,WILLIAMS,"BLUEBIRD II",92.3,0.01,"MULTIGAME - PACK 4",W2282643,555G-000-16CJ,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
216,2401971,WILLIAMS,"BLUEBIRD II",92.2,0.01,"MULTIGAME - PACK 1",W2285996,555G-000-16CJ,0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
217,2401972,WILLIAMS,"BLUEBIRD II",91.9,0.01,"SILVER SWORD",W2282681,SC46-1040C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
218,2401973,WILLIAMS,"BLUEBIRD II",91.9,0.01,"GEMS GEMS GEMS",W2282630,SC98-1020C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
219,2401974,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 6",W2282638,DE1A-1010C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
220,2401975,WILLIAMS,"BLUEBIRD II",92.1,0.01,"WINTER WOLF",W2285843,DE1B-1020C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
221,2401976,WILLIAMS,"BLUEBIRD II",92.0,0.01,"BUFFALO SPIRIT",W2282629,DD69-1020,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
222,2401977,WILLIAMS,"BLUEBIRD II",92.1,0.01,"QUEEN OF THE WILD",W2282663,DE53-1030C2,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
223,2401978,WILLIAMS,"BLUEBIRD II",92.1,0.01,"SEA TALES",W2282610,DA49-1030D1,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
224,2401979,WILLIAMS,"BLUEBIRD II",92.1,0.01,KRONOS,W2282626,DD41-1020C2,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
225,2401997,IGT,"G23 MLD_V2",91.9,0.01,"NIGHT OF THE WOLF",2030069,GI014005KS1M001,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
226,2401998,IGT,"G23 MLD_V2",92.7,0.01,"ZODIAC RICHES",2030064,GI014005HD3H002,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
227,2401999,IGT,"G23 MLD_V2",92.0,0.01,"GOLDEN GODDESS",2030066,GI014001GF3H005,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
228,2402000,IGT,"G23 MLD_V2",91.9,0.01,"HOT ROLL SUPER TIMES PAY",2030065,GC014002IL3E001/GT0140020340103/AI014-09J,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
229,2402001,IGT,"G23 MLD_V2",92.0,0.01,"HOT ROLL TRIPLE DOUBLE DIAMOND",2030072,GC014002IL2E001/GT0140020340103/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
230,2402002,IGT,"G23 MLD_V2",91.9,0.01,"LUCKY LARRY LOBSTERMANIA MULTIPLAY",2030071,GI014001GV5C001/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
231,2402003,IGT,"G23 MLD_V2",91.9,0.01,"HOT ROLL SUPER TIMES PAY",2030068,GC014002IL3E001/GT0140020340103/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
232,2402004,IGT,"G23 MLD_V2",91.9,0.01,"CAPISTRANO MULTIPLAY",2030073,GI014005HI1H005/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
233,2402016,IGT,"AVP WS",91.5,0.01,"PROWLING PANTHER",2041121,GI014005RZ9H004,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
234,2402017,IGT,"AVP WS",91.5,0.01,"PROWLING PANTHER",2041122,GI014005RZ9H004,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
235,2402022,IGT,"AVP WS",91.5,0.01,"PROWLING PANTHER",2041123,GI014005RZ9H004,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
236,2402023,IGT,"AVP WS",91.5,0.01,"PROWLING PANTHER",2041124,GI014005RZ9H004,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
237,2402024,IGT,"AVP WS",91.8,0.01,"LUCKY FOX",2029703,GI014005CB50001/AI014-09J,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
238,2402025,IGT,"AVP WS",92.0,0.01,"GOLDEN GODDESS",2029699,GI014001GF3H005/AI014-09J,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
239,2402038,WILLIAMS,"BLUEBIRD II",92.1,0.01,"VAMPIRES EMBRACE",W2298770,DE54-000-1030C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
240,2402039,WILLIAMS,"BLUEBIRD II",92.1,0.01,"VAMPIRES EMBRACE",W2298771,DE54-000-1030C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
241,2402040,WILLIAMS,"BLUEBIRD II",92.1,0.01,"VAMPIRES EMBRACE",W2298772,DE54-000-1030C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
242,2402041,WILLIAMS,"BLUEBIRD II",92.0,0.01,"SEA TALES",W2298773,DA49-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
243,2402042,WILLIAMS,"BLUEBIRD II",92.0,0.01,"SEA TALES",W2298774,DA49-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
244,2402043,WILLIAMS,"BLUEBIRD II",92.0,0.01,"SEA TALES",W2298775,DA49-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
245,2402044,WILLIAMS,"BLUEBIRD II",92.0,0.01,ZANZIBAR,W2298776,DD71-000-1020D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
246,2402045,WILLIAMS,"BLUEBIRD II",92.0,0.01,ZANZIBAR,W2298777,DD71-000-1020D1,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
247,2402046,WILLIAMS,"BLUEBIRD II",92.0,0.01,ZANZIBAR,W2298778,DD71-000-1020D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
248,2402047,WILLIAMS,"BLUEBIRD II",92.0,0.01,"WINTER WOLF",W2298779,DA48-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
249,2402048,WILLIAMS,"BLUEBIRD II",92.1,0.01,"WINTER WOLF",W2298780,DA48-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
250,2402049,WILLIAMS,"BLUEBIRD II",92.0,0.01,"WINTER WOLF",W2298781,DA48-000-1030D1,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
251,2402050,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 4",W2298782,DD45-000-1020C0,0.50,1,igt.jpg,NULL,NULL,NULL,NULL
252,2402053,WILLIAMS,"BLUEBIRD II",92.3,0.01,"MULTIGAME - PACK 5",W2298785,555G-000-16CJ,0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
253,2402054,WILLIAMS,"BLUEBIRD II",92.0,0.01,"FORTUNES OF THE CARIBBEAN",W2298786,DD46-000-1030C0,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
254,2402055,WILLIAMS,"BLUEBIRD II",92.0,0.01,"FORTUNES OF THE CARIBBEAN",W2298787,DD46-000-1030C0,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
255,2402056,WILLIAMS,"BLUEBIRD II",91.9,0.01,"MYSTICAL FORTUNES REEL BOOST",W2298788,DE97-000-1000C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
256,2402057,WILLIAMS,"BLUEBIRD II",91.9,0.01,"MYSTICAL FORTUNES REEL BOOST",W2298789,DE97-000-1000C2,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
257,2402058,WILLIAMS,"BLUEBIRD II",91.9,0.01,"MYSTICAL FORTUNES REEL BOOST",W2298790,DE97-000-1000C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
258,2402059,WILLIAMS,"BLUEBIRD II",92.0,0.01,"WILD SHOOTOUT REEL BOOST",W2298791,DE96-000-1000C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
259,2402060,WILLIAMS,"BLUEBIRD II",92.0,0.01,"WILD SHOOTOUT REEL BOOST",W2298792,DE96-000-1000C2,0.05|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
260,2402061,WILLIAMS,"BLUEBIRD II",92.0,0.01,"WILD SHOOTOUT REEL BOOST",W2298793,DE96-000-1000C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
261,2402068,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 2",W2298712,S9B1-000-1010C9,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
262,2402069,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ROSE OF CAIRO",W2298713,DE1B-000-1010C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
263,2402070,WILLIAMS,"BLUEBIRD II",91.9,0.01,"SILVER SWORD",W2298714,SC46-000-1040C2,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
264,2402071,WILLIAMS,"BLUEBIRD II",91.9,0.01,"SILVER SWORD",W2298715,SC46-000-1040C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
265,2402072,WILLIAMS,"BLUEBIRD II",91.9,0.01,"GEMS GEMS GEMS",W2298716,SC98-000-1020C2,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
266,2402073,WILLIAMS,"BLUEBIRD II",91.9,0.01,"GEMS GEMS GEMS",W2298717,SC98-000-1020C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
267,2402074,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MOJO RISING",W2298718,de92-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
268,2402075,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MOJO RISING",W2298719,de92-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
269,2402076,WILLIAMS,"BLUEBIRD II",92.0,0.01,"INVADERS FROM THE PLANET MOOLAH",W2298720,DE36-000-1010,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
270,2402077,WILLIAMS,"BLUEBIRD II",91.9,0.01,"INVADERS FROM THE PLANET MOOLAH",W2298721,DE36-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
271,2402078,WILLIAMS,"BLUEBIRD II",92.3,0.01,"MULTIGAME - PACK 3",W2298722,DD91-000-1050C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
272,2402079,WILLIAMS,"BLUEBIRD II",91.9,0.01,BAMBOOZLED,W2298723,DD91-000-1050C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
273,2402080,WILLIAMS,"BLUEBIRD II",91.9,0.01,"JEWELS OF AFRICA",W2298724,DD68-000-1060C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
274,2402081,WILLIAMS,"BLUEBIRD II",91.9,0.01,"JEWELS OF AFRICA",W2298725,DD68-000-1060C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
275,2402082,WILLIAMS,"BLUEBIRD II",92.0,0.01,"KINGDOM OF THE TITANS",W2298726,SC17-000-1010C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
276,2402083,WILLIAMS,"BLUEBIRD II",92.0,0.01,"KINGDOM OF THE TITANS",W2298727,SC17-000-1010C2,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
277,2402084,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 4",W2298728,d57c-000-1010,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
278,2402085,WILLIAMS,"BLUEBIRD II",91.9,0.01,"BIRDS OF PREY",W2298729,d57c-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
279,2402086,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 2",W2298730,D57B-000-1000C0,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
280,2402087,WILLIAMS,"BLUEBIRD II",91.9,0.01,"AMAZING ESCAPE",W2298731,D57B-000-1000C0,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
281,2402088,WILLIAMS,"BLUEBIRD II",92.0,0.01,"INVADERS FROM THE PLANET MOOLAH",W2298732,DD10-000-1020C0,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
282,2402089,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ALL THAT GLITTERS 2",W2298733,DD10-000-1020C0,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
283,2402090,WILLIAMS,"BLUEBIRD II",92.0,0.01,"MULTIGAME - PACK 2",W2298734,S9B1-000-1010C9,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
284,2402106,WILLIAMS,"BLUEBIRD II",91.9,0.01,"MYSTICAL FORTUNES REEL BOOST",W2298750,DE97-000-1000C2,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
285,2402109,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ZEUS III",W2298753,DE95000-1000C2,0.10|0.25,1,igt.jpg,NULL,NULL,NULL,NULL
286,2402113,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ZEUS III",W2298757,DE95000-1000C2,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
287,2402116,WILLIAMS,"BLUEBIRD II",92.0,0.01,"PANDA RICHES",W2301207,DC11-000-1030,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
288,2402117,WILLIAMS,"BLUEBIRD II",92.0,0.01,"PANDA RICHES",W2301211,DC11-000-1030,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
289,2402118,WILLIAMS,"BLUEBIRD II",92.0,0.01,"SNOW LEOPARD",W2301212,DC10-000-1040,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
290,2402119,WILLIAMS,"BLUEBIRD II",92.0,0.01,"SNOW LEOPARD",W2301216,DC10-000-1040,0.05|0.10,0,igt.jpg,NULL,NULL,NULL,NULL
291,2402120,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ROYAL UNICORN",W2301217,DC08-000-1040,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
292,2402121,WILLIAMS,"BLUEBIRD II",92.0,0.01,"ROYAL UNICORN",W2301218,DC08-000-1040,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
293,2402122,WILLIAMS,"BLUEBIRD II",91.8,0.01,"THE FLYING DUCHESS",W2301219,DC59-000-1010C0,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
294,2402123,WILLIAMS,"BLUEBIRD II",92.2,0.01,"CHINA MOON",W2301220,DB77-000-1020,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
295,2402124,WILLIAMS,"BLUEBIRD II",91.8,0.01,"RECORD JACKPOTS",W2301221,DB78-000-1020,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
296,2402125,WILLIAMS,"BLUEBIRD II",91.8,0.01,"LUCK O' LANTERN",W2301223,DC60-000-1010C0,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
297,2402126,IGT,"G23 AVP 3.0",91.9,0.01,"BLACK WIDOW",2050331,GI014001GY6E006/AI014-09J,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
298,2402136,IGT,"G23 AVP 3.0",93.5,0.01,"DANGEROUS BEAUTY",2050333,GI014001HH3H005/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
299,2402137,IGT,"G23 AVP 3.0",92.0,0.01,FRUITASTIC,2050350,GI014005CKMJ001,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
300,2402138,IGT,"G23 AVP 3.0",91.9,0.01,"DANGEROUS BEAUTY",2050336,GI014001HH3H005/AI014-09J,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
301,2402139,IGT,"G23 AVP 3.0",91.9,0.01,"DANGEROUS BEAUTY",2050337,GI014001HH3H005/AI014-09J,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
302,2402140,IGT,"G23 AVP 3.0",91.9,0.01,"TAKES THE CAKE",2050365,Gl014002PL9B003,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
303,2402141,IGT,"G23 AVP 3.0",91.9,0.01,"CANDY BARS",2050354,Gl014002JN9H003,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
304,2402142,IGT,"G23 AVP 3.0",91.9,0.01,"TANGO DE ORO",2050381,Gl014005MLGB001,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
305,2402143,IGT,"G23 AVP 3.0",92.0,0.01,"BLACK ORCHID",2050367,Gl014005NO1B010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
306,2402145,IGT,"G23 AVP 3.0",91.9,0.01,"SHADOW OF THE PANTHER",2050343,Gl014005JZ4H003,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
307,2402151,IGT,"G23 AVP 3.0",91.9,0.01,"THE VANISHING ACT",2050361,GI014005JC7H003/AI014-09J,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
308,2402152,IGT,"G23 AVP 3.0",91.5,0.01,"THE LOVERLY OUTIAWS",2050346,Gl014005LZ4H003,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
